,Fips,State,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017,1-year (2016-2017),5-year (2013-2017),10-year (2008-2017),gdp_mean,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,School exp mean
0,1000,Alabama,36976,35376,35912,36210,36440,36674,36473,36818,37158,37508,0.90%,2.30%,1.40%,36554.5,"9,197","8,964","8,907","8,726","8,577","8,773","9,036","9,146","9,258","8,954"
1,2000,Alaska,67527,72204,69565,70618,73505,69711,67179,65971,63304,63610,0.50%,-8.80%,-5.80%,68319.4,"14,641","15,363","15,829","16,663","17,475","18,217","18,466","20,191","17,510","17,151"
2,4000,Arizona,41800,38232,37943,38267,38591,38352,38534,38787,38940,39583,1.70%,3.20%,-5.30%,38902.9,"7,727","8,022","7,870","7,782","7,383","7,495","7,427","7,530","7,711","7,661"
3,5000,Arkansas,34957,33837,34674,35156,34982,35888,36265,36295,36502,36714,0.60%,2.30%,5.00%,35527,"8,677","8,854","9,281","9,496","9,536","9,538","9,752","9,805","9,900","9,427"
4,6000,California,54454,51733,51878,52105,52963,53838,55571,57637,58974,60359,2.30%,12.10%,10.80%,54951.2,"9,706","9,503","9,300","9,146","9,220","9,258","9,671","10,449","11,419","9,741"
5,8000,Colorado,51651,49731,49260,49303,49673,50523,52105,53007,52863,54026,2.20%,6.90%,4.60%,51214.2,"9,152","8,782","8,926","8,786","8,594","8,693","9,036","9,292","9,619","8,987"
6,9000,Connecticut,68777,65574,64901,63602,63433,62438,62023,62796,62745,62633,-0.20%,0.30%,-8.90%,63892.2,"14,610","15,353","15,698","16,224","16,855","17,321","18,401","19,020","19,615","17,011"
7,10000,Delaware,62535,64313,62844,63795,62182,60738,63555,64809,63578,63955,0.60%,5.30%,2.30%,63230.4,"12,153","12,109","12,222","12,467","13,580","13,653","13,793","13,882","14,397","13,140"
8,11000,District of Columbia,170687,166178,168070,166908,163196,159264,159369,159530,159141,159607,0.30%,0.20%,-6.50%,163195,"16,353","19,698","20,910","20,793","19,847","20,451","20,537","20,610","21,135","20,037"
9,12000,Florida,41241,38695,38610,37875,37711,38018,38466,39334,39608,39842,0.60%,4.80%,-3.40%,38940,"9,084","8,867","8,863","9,030","8,520","8,623","8,955","9,113","9,176","8,915"
10,13000,Georgia,44239,42052,42032,42144,42206,42513,43467,44246,45238,45925,1.50%,8.00%,3.80%,43406.2,"9,718","9,649","9,432","9,259","9,272","9,121","9,236","9,476","9,835","9,444"
11,15000,Hawaii,50833,48549,49422,49314,49479,49484,49591,51052,51964,52869,1.70%,6.80%,4.00%,50255.7,"11,800","12,400","11,855","11,924","11,973","11,790","12,400","12,855","13,748","12,305"
12,16000,Idaho,36691,34664,34622,34291,34121,34787,35173,35679,36256,36441,0.50%,4.80%,-0.70%,35272.5,"6,951","7,118","7,100","6,821","6,626","6,761","6,577","6,929","7,178","6,896"
13,17000,Illinois,51406,49859,50306,51189,52141,51919,52984,53709,54308,55102,1.50%,6.10%,7.20%,52292.3,"10,353","11,084","11,737","11,739","12,008","12,439","13,203","13,923","14,327","12,313"
14,18000,Indiana,43515,40572,43000,43066,43077,43876,44818,44721,45717,46427,1.60%,5.80%,6.70%,43878.9,"8,867","9,254","9,479","9,251","9,588","9,421","9,396","9,529","9,691","9,386"
15,19000,Iowa,46413,45195,45891,46546,48031,48034,49688,51379,52248,52284,0.10%,8.80%,12.60%,48570.9,"9,275","9,704","9,748","9,795","10,027","10,291","10,647","10,938","11,148","10,175"
16,20000,Kansas,46050,43770,44250,45488,45513,45468,46235,46792,47548,47435,-0.20%,4.30%,3.00%,45854.9,"9,894","10,204","9,972","9,802","10,021","10,011","10,240","10,329","10,216","10,077"
17,21000,Kentucky,37875,36209,37585,37933,38062,38259,38336,38419,38736,39277,1.40%,2.70%,3.70%,38069.1,"8,740","8,786","8,957","9,228","9,327","9,274","9,411","9,560","9,831","9,235"
18,22000,Louisiana,46578,46949,48601,45722,45489,43721,44475,44751,44440,44372,-0.20%,1.50%,-4.70%,45509.8,"10,006","10,625","10,701","10,799","10,726","10,539","10,853","11,106","11,169","10,725"
19,23000,Maine,38508,37910,38357,37787,37727,37508,38149,38415,39125,39521,1.00%,5.40%,2.60%,38300.7,"11,761","12,183","12,525","12,576","12,335","12,694","13,267","13,911","14,202","12,828"
20,24000,Maryland,52877,52515,53679,54213,53999,53751,54108,54661,55786,56375,1.10%,4.90%,6.60%,54196.4,"13,257","13,737","14,007","13,946","13,875","14,086","14,217","14,431","14,523","14,009"
21,25000,Massachusetts,60723,59178,60814,61766,62441,61842,62528,64660,65168,66500,2.00%,7.50%,9.50%,62562,"13,690","14,534","13,956","14,612","14,844","15,321","15,886","16,450","16,986","15,142"
22,26000,Michigan,39863,36676,38766,39758,40465,40992,41544,42594,43330,44201,2.00%,7.80%,10.90%,40818.9,"10,075","10,373","10,447","10,577","10,477","10,515","10,649","10,956","11,051","10,569"
23,27000,Minnesota,51234,48884,50153,50899,51297,52023,53109,53257,54295,54805,0.90%,5.30%,7.00%,51995.6,"10,060","10,983","10,665","10,674","10,781","11,065","11,427","11,924","12,364","11,105"
24,28000,Mississippi,33128,31658,31687,31175,31807,31952,31635,31714,32334,32447,0.30%,1.50%,-2.10%,31953.7,"7,890","8,064","8,104","7,926","8,097","8,117","8,265","8,445","8,692","8,178"
25,29000,Missouri,43118,42012,42207,41601,41941,42498,42527,42785,42736,43036,0.70%,1.30%,-0.20%,42446.1,"9,297","9,617","9,721","9,461","9,514","9,702","9,938","10,231","10,385","9,763"
26,30000,Montana,37636,36667,37738,38578,38601,38567,39319,40148,40041,39833,-0.50%,3.30%,5.80%,38712.8,"9,749","10,120","10,565","10,719","10,569","10,662","10,941","11,078","11,374","10,642"
27,31000,Nebraska,47770,47973,49571,51378,50655,51597,53109,54048,54660,54654,0.00%,5.90%,14.40%,51541.5,"10,199","10,436","10,880","11,208","11,492","11,743","11,877","12,174","12,379","11,376"
28,32000,Nevada,49286,44774,44597,44559,43384,43074,43075,44057,44142,44812,1.50%,4.00%,-9.10%,44576,"8,187","8,321","8,376","8,411","8,130","8,026","8,275","8,451","8,753","8,326"
29,33000,New Hampshire,47842,47265,48395,48509,48661,48873,49623,51020,51827,52509,1.30%,7.40%,9.80%,49452.4,"11,951","12,583","13,072","13,548","13,774","14,050","14,601","14,969","15,535","13,787"
30,34000,New Jersey,57784,55067,55023,54281,55106,55659,55563,56196,56428,56776,0.60%,2.00%,-1.70%,55788.3,"17,620","16,973","17,379","16,855","17,982","18,523","18,780","18,559","19,041","17,968"
31,35000,New Mexico,41207,40670,40300,40167,40098,39659,40769,41457,41334,41619,0.70%,4.90%,1.00%,40728,"9,291","9,648","9,621","9,250","9,013","9,164","9,403","9,724","9,959","9,453"
32,36000,New York,58532,59481,61259,61163,62769,62320,63174,64286,64522,65220,1.10%,4.70%,11.40%,62272.6,"16,794","17,746","18,167","18,857","19,396","19,529","20,156","20,744","21,818","19,245"
33,37000,North Carolina,45567,43160,43071,43169,42619,42909,43400,44180,44194,44706,1.20%,4.20%,-1.90%,43697.5,"7,709","8,463","8,225","8,267","8,160","8,342","8,287","8,529","8,717","8,300"
34,38000,North Dakota,48379,48858,52186,57120,68174,67755,70876,67618,64257,64911,1.00%,-4.20%,34.20%,61013.4,"9,324","9,802","10,519","10,898","11,246","11,615","12,383","12,884","13,358","11,337"
35,39000,Ohio,43548,41593,42673,44198,44911,45262,46671,47098,47419,48188,1.60%,6.50%,10.70%,45156.1,"10,340","10,669","11,224","11,395","11,323","11,276","11,434","11,730","11,933","11,258"
36,40000,Oklahoma,40048,38640,38304,39972,41880,43317,45418,46370,44418,44535,0.30%,2.80%,11.20%,42290.2,"7,683","7,878","7,929","7,631","7,763","7,914","7,995","8,075","8,091","7,884"
37,41000,Oregon,48508,47530,49614,51295,49461,48169,48130,49715,50751,51312,1.10%,6.50%,5.80%,49448.5,"9,565","9,611","9,268","9,516","9,485","9,183","9,524","9,927","10,247","9,592"
38,42000,Pennsylvania,46862,45312,46391,46877,47554,48289,49228,50489,50978,51841,1.70%,7.40%,10.60%,48382.1,"11,741","12,299","12,729","13,096","13,091","13,445","13,824","14,405","15,165","13,311"
39,44000,Rhode Island,45746,45280,46339,46023,46194,46367,46663,47519,47662,48314,1.40%,4.20%,5.60%,46610.7,"14,459","14,719","14,723","14,948","15,172","14,889","15,372","15,797","16,082","15,129"
40,45000,South Carolina,36834,34955,35126,35608,35359,35716,36325,36952,37269,37637,1.00%,5.40%,2.20%,36178.1,"9,060","9,228","9,080","8,908","9,102","9,444","9,608","9,831","10,045","9,367"
41,46000,South Dakota,45516,45457,45610,48034,47070,47003,47039,47980,48306,48004,-0.60%,2.10%,5.50%,47001.9,"8,535","8,543","9,020","8,931","8,593","8,630","9,036","9,103","9,335","8,858"
42,47000,Tennessee,40949,39096,39375,40201,41114,41513,41858,42902,43720,44348,1.40%,6.80%,8.30%,41507.6,"7,820","7,992","8,117","8,330","8,348","8,588","8,662","8,776","8,876","8,390"
43,48000,Texas,48282,47034,47422,48358,50253,52007,52879,54200,53104,53737,1.20%,3.30%,11.30%,50727.6,"8,350","8,562","8,788","8,685","8,213","8,285","8,602","9,081","9,352","8,658"
44,49000,Utah,43375,41563,41501,42002,41952,42306,43264,44392,44947,45493,1.20%,7.50%,4.90%,43079.5,"5,978","6,500","6,360","6,326","6,312","6,432","6,546","6,751","7,006","6,468"
45,50000,Vermont,41764,40855,42180,43160,43099,42989,43222,43605,44354,44831,1.10%,4.30%,7.30%,43005.9,"14,421","15,096","15,666","14,707","16,651","17,286","18,066","18,769","19,023","16,632"
46,51000,Virginia,51985,51389,51949,51770,51568,51112,50855,51486,51443,52124,1.30%,2.00%,0.30%,51568.1,"10,664","10,928","10,594","10,363","10,656","10,960","10,955","11,235","11,435","10,866"
47,53000,Washington,54939,52264,52694,52526,53473,54197,55338,56617,57796,59333,2.70%,9.50%,8.00%,54917.7,"9,058","9,585","9,497","9,619","9,604","9,714","10,305","10,684","11,484","9,950"
48,54000,West Virginia,34679,34564,35367,36086,35532,35772,36017,36233,36155,37353,3.30%,4.40%,7.70%,35775.8,"10,059","10,606","11,774","11,978","11,579","11,264","11,371","11,512","11,424","11,285"
49,55000,Wisconsin,44622,43215,44125,44936,45422,45895,46456,47268,48063,48666,1.30%,6.00%,9.10%,45866.8,"10,709","11,097","11,423","11,846","11,141","11,186","11,345","11,538","11,664","11,328"
50,56000,Wyoming,69182,66320,64618,63999,60794,60806,60853,61304,59327,61091,3.00%,0.50%,-11.70%,62829.4,"13,790","14,552","15,140","15,711","15,896","15,722","15,815","16,047","16,431","15,456"
