,Occupation,Employment,title
0,Retail Salespersons,4317950,"Largest occupations in the United States, May 2019"
1,Fast Food and Counter Workers,3996820,"Largest occupations in the United States, May 2019"
2,Cashiers,3596630,"Largest occupations in the United States, May 2019"
3,Home Health and Personal Care Aides,3161500,"Largest occupations in the United States, May 2019"
4,Registered Nurses,2982280,"Largest occupations in the United States, May 2019"
5,"Office Clerks, General",2956060,"Largest occupations in the United States, May 2019"
6,"Laborers and Freight, Stock, and Material Movers, Hand",2953170,"Largest occupations in the United States, May 2019"
7,Customer Service Representatives,2919230,"Largest occupations in the United States, May 2019"
8,Waiters and Waitresses,2579020,"Largest occupations in the United States, May 2019"
9,General and Operations Managers,2400280,"Largest occupations in the United States, May 2019"
10,Retail Salespersons,1440,"Largest occupations in Virgin_Islands, May 2019"
11,Security Guards,1330,"Largest occupations in Virgin_Islands, May 2019"
12,General and Operations Managers,970,"Largest occupations in Virgin_Islands, May 2019"
13,Cashiers,790,"Largest occupations in Virgin_Islands, May 2019"
14,Waiters and Waitresses,790,"Largest occupations in Virgin_Islands, May 2019"
15,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",780,"Largest occupations in Virgin_Islands, May 2019"
16,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",660,"Largest occupations in Virgin_Islands, May 2019"
17,Stockers and Order Fillers,630,"Largest occupations in Virgin_Islands, May 2019"
18,"Maintenance and Repair Workers, General",620,"Largest occupations in Virgin_Islands, May 2019"
19,Electricians,580,"Largest occupations in Virgin_Islands, May 2019"
20,Retail Salespersons,36450,"Largest occupations in Puerto_Rico, May 2019"
21,Cashiers,30330,"Largest occupations in Puerto_Rico, May 2019"
22,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",28860,"Largest occupations in Puerto_Rico, May 2019"
23,Security Guards,26560,"Largest occupations in Puerto_Rico, May 2019"
24,"Office Clerks, General",20010,"Largest occupations in Puerto_Rico, May 2019"
25,Registered Nurses,19510,"Largest occupations in Puerto_Rico, May 2019"
26,Stockers and Order Fillers,18650,"Largest occupations in Puerto_Rico, May 2019"
27,Fast Food and Counter Workers,18390,"Largest occupations in Puerto_Rico, May 2019"
28,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",17490,"Largest occupations in Puerto_Rico, May 2019"
29,Customer Service Representatives,15950,"Largest occupations in Puerto_Rico, May 2019"
30,Retail Salespersons,1990,"Largest occupations in Guam, May 2019"
31,Cashiers,1950,"Largest occupations in Guam, May 2019"
32,Waiters and Waitresses,1740,"Largest occupations in Guam, May 2019"
33,General and Operations Managers,1590,"Largest occupations in Guam, May 2019"
34,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1380,"Largest occupations in Guam, May 2019"
35,Customer Service Representatives,1340,"Largest occupations in Guam, May 2019"
36,Stockers and Order Fillers,1190,"Largest occupations in Guam, May 2019"
37,Maids and Housekeeping Cleaners,1140,"Largest occupations in Guam, May 2019"
38,Fast Food and Counter Workers,1040,"Largest occupations in Guam, May 2019"
39,Security Guards,990,"Largest occupations in Guam, May 2019"
40,"Office Clerks, General",7960,"Largest occupations in Wyoming, May 2019"
41,Retail Salespersons,7900,"Largest occupations in Wyoming, May 2019"
42,Heavy and Tractor-Trailer Truck Drivers,7130,"Largest occupations in Wyoming, May 2019"
43,Cashiers,6350,"Largest occupations in Wyoming, May 2019"
44,Fast Food and Counter Workers,6000,"Largest occupations in Wyoming, May 2019"
45,Registered Nurses,5120,"Largest occupations in Wyoming, May 2019"
46,General and Operations Managers,4990,"Largest occupations in Wyoming, May 2019"
47,Waiters and Waitresses,4740,"Largest occupations in Wyoming, May 2019"
48,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",4530,"Largest occupations in Wyoming, May 2019"
49,Operating Engineers and Other Construction Equipment Operators,4060,"Largest occupations in Wyoming, May 2019"
50,Retail Salespersons,78410,"Largest occupations in Wisconsin, May 2019"
51,Fast Food and Counter Workers,73620,"Largest occupations in Wisconsin, May 2019"
52,Home Health and Personal Care Aides,72060,"Largest occupations in Wisconsin, May 2019"
53,Customer Service Representatives,69460,"Largest occupations in Wisconsin, May 2019"
54,Cashiers,65280,"Largest occupations in Wisconsin, May 2019"
55,Registered Nurses,61930,"Largest occupations in Wisconsin, May 2019"
56,"Office Clerks, General",58930,"Largest occupations in Wisconsin, May 2019"
57,"Laborers and Freight, Stock, and Material Movers, Hand",56750,"Largest occupations in Wisconsin, May 2019"
58,Heavy and Tractor-Trailer Truck Drivers,51440,"Largest occupations in Wisconsin, May 2019"
59,Miscellaneous Assemblers and Fabricators,48030,"Largest occupations in Wisconsin, May 2019"
60,Fast Food and Counter Workers,22970,"Largest occupations in West_Virginia, May 2019"
61,Retail Salespersons,21770,"Largest occupations in West_Virginia, May 2019"
62,Cashiers,20320,"Largest occupations in West_Virginia, May 2019"
63,Registered Nurses,19830,"Largest occupations in West_Virginia, May 2019"
64,"Office Clerks, General",18620,"Largest occupations in West_Virginia, May 2019"
65,Home Health and Personal Care Aides,15080,"Largest occupations in West_Virginia, May 2019"
66,Customer Service Representatives,12660,"Largest occupations in West_Virginia, May 2019"
67,Heavy and Tractor-Trailer Truck Drivers,11840,"Largest occupations in West_Virginia, May 2019"
68,Waiters and Waitresses,11530,"Largest occupations in West_Virginia, May 2019"
69,General and Operations Managers,11510,"Largest occupations in West_Virginia, May 2019"
70,Retail Salespersons,106070,"Largest occupations in Washington, May 2019"
71,Fast Food and Counter Workers,97240,"Largest occupations in Washington, May 2019"
72,Software Developers and Software Quality Assurance Analysts and Testers,77650,"Largest occupations in Washington, May 2019"
73,"Office Clerks, General",69370,"Largest occupations in Washington, May 2019"
74,Cashiers,66200,"Largest occupations in Washington, May 2019"
75,"Laborers and Freight, Stock, and Material Movers, Hand",64880,"Largest occupations in Washington, May 2019"
76,Home Health and Personal Care Aides,61470,"Largest occupations in Washington, May 2019"
77,Registered Nurses,58000,"Largest occupations in Washington, May 2019"
78,Customer Service Representatives,56760,"Largest occupations in Washington, May 2019"
79,Waiters and Waitresses,55090,"Largest occupations in Washington, May 2019"
80,Cashiers,115790,"Largest occupations in Virginia, May 2019"
81,Retail Salespersons,103600,"Largest occupations in Virginia, May 2019"
82,Fast Food and Counter Workers,102410,"Largest occupations in Virginia, May 2019"
83,"Office Clerks, General",76110,"Largest occupations in Virginia, May 2019"
84,Customer Service Representatives,74340,"Largest occupations in Virginia, May 2019"
85,Software Developers and Software Quality Assurance Analysts and Testers,73310,"Largest occupations in Virginia, May 2019"
86,Waiters and Waitresses,69990,"Largest occupations in Virginia, May 2019"
87,Registered Nurses,66040,"Largest occupations in Virginia, May 2019"
88,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",60510,"Largest occupations in Virginia, May 2019"
89,Stockers and Order Fillers,58380,"Largest occupations in Virginia, May 2019"
90,Cashiers,8690,"Largest occupations in Vermont, May 2019"
91,Retail Salespersons,8520,"Largest occupations in Vermont, May 2019"
92,Home Health and Personal Care Aides,7230,"Largest occupations in Vermont, May 2019"
93,Registered Nurses,7020,"Largest occupations in Vermont, May 2019"
94,Fast Food and Counter Workers,5950,"Largest occupations in Vermont, May 2019"
95,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",5460,"Largest occupations in Vermont, May 2019"
96,Waiters and Waitresses,4970,"Largest occupations in Vermont, May 2019"
97,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",4880,"Largest occupations in Vermont, May 2019"
98,"Bookkeeping, Accounting, and Auditing Clerks",4840,"Largest occupations in Vermont, May 2019"
99,"Teaching Assistants, Except Postsecondary",4650,"Largest occupations in Vermont, May 2019"
100,Customer Service Representatives,49070,"Largest occupations in Utah, May 2019"
101,Retail Salespersons,47650,"Largest occupations in Utah, May 2019"
102,General and Operations Managers,47380,"Largest occupations in Utah, May 2019"
103,Fast Food and Counter Workers,46610,"Largest occupations in Utah, May 2019"
104,"Office Clerks, General",31500,"Largest occupations in Utah, May 2019"
105,Cashiers,30840,"Largest occupations in Utah, May 2019"
106,"Laborers and Freight, Stock, and Material Movers, Hand",24050,"Largest occupations in Utah, May 2019"
107,Heavy and Tractor-Trailer Truck Drivers,23300,"Largest occupations in Utah, May 2019"
108,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",23180,"Largest occupations in Utah, May 2019"
109,Registered Nurses,21650,"Largest occupations in Utah, May 2019"
110,Fast Food and Counter Workers,419820,"Largest occupations in Texas, May 2019"
111,Retail Salespersons,383920,"Largest occupations in Texas, May 2019"
112,"Office Clerks, General",313750,"Largest occupations in Texas, May 2019"
113,Home Health and Personal Care Aides,300820,"Largest occupations in Texas, May 2019"
114,Customer Service Representatives,291550,"Largest occupations in Texas, May 2019"
115,Cashiers,284770,"Largest occupations in Texas, May 2019"
116,Waiters and Waitresses,219180,"Largest occupations in Texas, May 2019"
117,Registered Nurses,218090,"Largest occupations in Texas, May 2019"
118,General and Operations Managers,217080,"Largest occupations in Texas, May 2019"
119,"Laborers and Freight, Stock, and Material Movers, Hand",204030,"Largest occupations in Texas, May 2019"
120,"Laborers and Freight, Stock, and Material Movers, Hand",93310,"Largest occupations in Tennessee, May 2019"
121,Retail Salespersons,90030,"Largest occupations in Tennessee, May 2019"
122,Cashiers,74130,"Largest occupations in Tennessee, May 2019"
123,Customer Service Representatives,67820,"Largest occupations in Tennessee, May 2019"
124,Fast Food and Counter Workers,66270,"Largest occupations in Tennessee, May 2019"
125,Heavy and Tractor-Trailer Truck Drivers,63790,"Largest occupations in Tennessee, May 2019"
126,Registered Nurses,63330,"Largest occupations in Tennessee, May 2019"
127,Stockers and Order Fillers,59650,"Largest occupations in Tennessee, May 2019"
128,"Office Clerks, General",59540,"Largest occupations in Tennessee, May 2019"
129,Waiters and Waitresses,55250,"Largest occupations in Tennessee, May 2019"
130,Retail Salespersons,15260,"Largest occupations in South_Dakota, May 2019"
131,Fast Food and Counter Workers,13130,"Largest occupations in South_Dakota, May 2019"
132,Registered Nurses,12950,"Largest occupations in South_Dakota, May 2019"
133,Cashiers,12550,"Largest occupations in South_Dakota, May 2019"
134,"Bookkeeping, Accounting, and Auditing Clerks",9700,"Largest occupations in South_Dakota, May 2019"
135,Customer Service Representatives,8810,"Largest occupations in South_Dakota, May 2019"
136,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",8250,"Largest occupations in South_Dakota, May 2019"
137,Heavy and Tractor-Trailer Truck Drivers,7300,"Largest occupations in South_Dakota, May 2019"
138,Waiters and Waitresses,7020,"Largest occupations in South_Dakota, May 2019"
139,Nursing Assistants,5990,"Largest occupations in South_Dakota, May 2019"
140,Fast Food and Counter Workers,73730,"Largest occupations in South_Carolina, May 2019"
141,Retail Salespersons,71670,"Largest occupations in South_Carolina, May 2019"
142,Cashiers,64700,"Largest occupations in South_Carolina, May 2019"
143,"Laborers and Freight, Stock, and Material Movers, Hand",64150,"Largest occupations in South_Carolina, May 2019"
144,Customer Service Representatives,51510,"Largest occupations in South_Carolina, May 2019"
145,Miscellaneous Assemblers and Fabricators,47820,"Largest occupations in South_Carolina, May 2019"
146,Registered Nurses,46860,"Largest occupations in South_Carolina, May 2019"
147,Waiters and Waitresses,40370,"Largest occupations in South_Carolina, May 2019"
148,"Office Clerks, General",34230,"Largest occupations in South_Carolina, May 2019"
149,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",34170,"Largest occupations in South_Carolina, May 2019"
150,Cashiers,13570,"Largest occupations in Rhode_Island, May 2019"
151,Retail Salespersons,12920,"Largest occupations in Rhode_Island, May 2019"
152,Registered Nurses,12630,"Largest occupations in Rhode_Island, May 2019"
153,Fast Food and Counter Workers,11860,"Largest occupations in Rhode_Island, May 2019"
154,"Office Clerks, General",10460,"Largest occupations in Rhode_Island, May 2019"
155,Waiters and Waitresses,9750,"Largest occupations in Rhode_Island, May 2019"
156,Nursing Assistants,9300,"Largest occupations in Rhode_Island, May 2019"
157,Customer Service Representatives,8460,"Largest occupations in Rhode_Island, May 2019"
158,"Laborers and Freight, Stock, and Material Movers, Hand",8270,"Largest occupations in Rhode_Island, May 2019"
159,Home Health and Personal Care Aides,7310,"Largest occupations in Rhode_Island, May 2019"
160,Home Health and Personal Care Aides,183430,"Largest occupations in Pennsylvania, May 2019"
161,Fast Food and Counter Workers,167840,"Largest occupations in Pennsylvania, May 2019"
162,Retail Salespersons,159180,"Largest occupations in Pennsylvania, May 2019"
163,"Office Clerks, General",159110,"Largest occupations in Pennsylvania, May 2019"
164,Registered Nurses,148040,"Largest occupations in Pennsylvania, May 2019"
165,"Laborers and Freight, Stock, and Material Movers, Hand",147080,"Largest occupations in Pennsylvania, May 2019"
166,Cashiers,140150,"Largest occupations in Pennsylvania, May 2019"
167,Customer Service Representatives,129250,"Largest occupations in Pennsylvania, May 2019"
168,Waiters and Waitresses,96210,"Largest occupations in Pennsylvania, May 2019"
169,Stockers and Order Fillers,92520,"Largest occupations in Pennsylvania, May 2019"
170,Fast Food and Counter Workers,58640,"Largest occupations in Oregon, May 2019"
171,Retail Salespersons,55610,"Largest occupations in Oregon, May 2019"
172,Cashiers,40680,"Largest occupations in Oregon, May 2019"
173,Registered Nurses,36660,"Largest occupations in Oregon, May 2019"
174,"Office Clerks, General",34100,"Largest occupations in Oregon, May 2019"
175,General and Operations Managers,34050,"Largest occupations in Oregon, May 2019"
176,Waiters and Waitresses,31810,"Largest occupations in Oregon, May 2019"
177,Home Health and Personal Care Aides,30580,"Largest occupations in Oregon, May 2019"
178,Stockers and Order Fillers,29990,"Largest occupations in Oregon, May 2019"
179,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",29650,"Largest occupations in Oregon, May 2019"
180,Retail Salespersons,49560,"Largest occupations in Oklahoma, May 2019"
181,Cashiers,42810,"Largest occupations in Oklahoma, May 2019"
182,Fast Food and Counter Workers,39330,"Largest occupations in Oklahoma, May 2019"
183,Registered Nurses,31350,"Largest occupations in Oklahoma, May 2019"
184,"Laborers and Freight, Stock, and Material Movers, Hand",29980,"Largest occupations in Oklahoma, May 2019"
185,Customer Service Representatives,29930,"Largest occupations in Oklahoma, May 2019"
186,Waiters and Waitresses,29020,"Largest occupations in Oklahoma, May 2019"
187,Heavy and Tractor-Trailer Truck Drivers,27470,"Largest occupations in Oklahoma, May 2019"
188,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",25170,"Largest occupations in Oklahoma, May 2019"
189,General and Operations Managers,23950,"Largest occupations in Oklahoma, May 2019"
190,Fast Food and Counter Workers,175500,"Largest occupations in Ohio, May 2019"
191,Retail Salespersons,148470,"Largest occupations in Ohio, May 2019"
192,Registered Nurses,125470,"Largest occupations in Ohio, May 2019"
193,"Laborers and Freight, Stock, and Material Movers, Hand",118130,"Largest occupations in Ohio, May 2019"
194,Cashiers,117440,"Largest occupations in Ohio, May 2019"
195,"Office Clerks, General",116010,"Largest occupations in Ohio, May 2019"
196,Customer Service Representatives,110020,"Largest occupations in Ohio, May 2019"
197,Home Health and Personal Care Aides,94870,"Largest occupations in Ohio, May 2019"
198,Waiters and Waitresses,87960,"Largest occupations in Ohio, May 2019"
199,Stockers and Order Fillers,86150,"Largest occupations in Ohio, May 2019"
200,Retail Salespersons,12540,"Largest occupations in North_Dakota, May 2019"
201,"Office Clerks, General",10740,"Largest occupations in North_Dakota, May 2019"
202,Heavy and Tractor-Trailer Truck Drivers,10690,"Largest occupations in North_Dakota, May 2019"
203,Fast Food and Counter Workers,10680,"Largest occupations in North_Dakota, May 2019"
204,Cashiers,10200,"Largest occupations in North_Dakota, May 2019"
205,Registered Nurses,9750,"Largest occupations in North_Dakota, May 2019"
206,General and Operations Managers,8090,"Largest occupations in North_Dakota, May 2019"
207,Nursing Assistants,8020,"Largest occupations in North_Dakota, May 2019"
208,Customer Service Representatives,6610,"Largest occupations in North_Dakota, May 2019"
209,"Laborers and Freight, Stock, and Material Movers, Hand",6500,"Largest occupations in North_Dakota, May 2019"
210,Retail Salespersons,143830,"Largest occupations in North_Carolina, May 2019"
211,Fast Food and Counter Workers,136970,"Largest occupations in North_Carolina, May 2019"
212,Cashiers,126920,"Largest occupations in North_Carolina, May 2019"
213,Registered Nurses,99960,"Largest occupations in North_Carolina, May 2019"
214,"Laborers and Freight, Stock, and Material Movers, Hand",95610,"Largest occupations in North_Carolina, May 2019"
215,Customer Service Representatives,88950,"Largest occupations in North_Carolina, May 2019"
216,"Office Clerks, General",84330,"Largest occupations in North_Carolina, May 2019"
217,Waiters and Waitresses,82340,"Largest occupations in North_Carolina, May 2019"
218,Stockers and Order Fillers,67740,"Largest occupations in North_Carolina, May 2019"
219,Home Health and Personal Care Aides,62310,"Largest occupations in North_Carolina, May 2019"
220,Home Health and Personal Care Aides,444880,"Largest occupations in New_York, May 2019"
221,Retail Salespersons,288630,"Largest occupations in New_York, May 2019"
222,Fast Food and Counter Workers,211970,"Largest occupations in New_York, May 2019"
223,Cashiers,198340,"Largest occupations in New_York, May 2019"
224,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",190730,"Largest occupations in New_York, May 2019"
225,"Office Clerks, General",186380,"Largest occupations in New_York, May 2019"
226,Registered Nurses,178320,"Largest occupations in New_York, May 2019"
227,General and Operations Managers,168730,"Largest occupations in New_York, May 2019"
228,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",166810,"Largest occupations in New_York, May 2019"
229,Waiters and Waitresses,160470,"Largest occupations in New_York, May 2019"
230,Home Health and Personal Care Aides,30230,"Largest occupations in New_Mexico, May 2019"
231,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",28990,"Largest occupations in New_Mexico, May 2019"
232,Retail Salespersons,25790,"Largest occupations in New_Mexico, May 2019"
233,Fast Food and Counter Workers,24290,"Largest occupations in New_Mexico, May 2019"
234,Cashiers,22850,"Largest occupations in New_Mexico, May 2019"
235,Customer Service Representatives,19400,"Largest occupations in New_Mexico, May 2019"
236,Registered Nurses,17350,"Largest occupations in New_Mexico, May 2019"
237,Waiters and Waitresses,17000,"Largest occupations in New_Mexico, May 2019"
238,General and Operations Managers,14730,"Largest occupations in New_Mexico, May 2019"
239,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",12070,"Largest occupations in New_Mexico, May 2019"
240,"Laborers and Freight, Stock, and Material Movers, Hand",133980,"Largest occupations in New_Jersey, May 2019"
241,Retail Salespersons,125470,"Largest occupations in New_Jersey, May 2019"
242,Cashiers,93530,"Largest occupations in New_Jersey, May 2019"
243,Registered Nurses,80140,"Largest occupations in New_Jersey, May 2019"
244,Fast Food and Counter Workers,78900,"Largest occupations in New_Jersey, May 2019"
245,Customer Service Representatives,68780,"Largest occupations in New_Jersey, May 2019"
246,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",67210,"Largest occupations in New_Jersey, May 2019"
247,"Office Clerks, General",66760,"Largest occupations in New_Jersey, May 2019"
248,Stockers and Order Fillers,65580,"Largest occupations in New_Jersey, May 2019"
249,Waiters and Waitresses,62540,"Largest occupations in New_Jersey, May 2019"
250,Retail Salespersons,24400,"Largest occupations in New_Hampshire, May 2019"
251,Cashiers,21500,"Largest occupations in New_Hampshire, May 2019"
252,"Office Clerks, General",16050,"Largest occupations in New_Hampshire, May 2019"
253,Fast Food and Counter Workers,14350,"Largest occupations in New_Hampshire, May 2019"
254,Stockers and Order Fillers,14340,"Largest occupations in New_Hampshire, May 2019"
255,Registered Nurses,14320,"Largest occupations in New_Hampshire, May 2019"
256,General and Operations Managers,13380,"Largest occupations in New_Hampshire, May 2019"
257,Waiters and Waitresses,12390,"Largest occupations in New_Hampshire, May 2019"
258,Customer Service Representatives,11660,"Largest occupations in New_Hampshire, May 2019"
259,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",10690,"Largest occupations in New_Hampshire, May 2019"
260,Retail Salespersons,46920,"Largest occupations in Nevada, May 2019"
261,Fast Food and Counter Workers,43310,"Largest occupations in Nevada, May 2019"
262,Waiters and Waitresses,37300,"Largest occupations in Nevada, May 2019"
263,Cashiers,37060,"Largest occupations in Nevada, May 2019"
264,"Laborers and Freight, Stock, and Material Movers, Hand",37000,"Largest occupations in Nevada, May 2019"
265,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",29360,"Largest occupations in Nevada, May 2019"
266,"Office Clerks, General",28800,"Largest occupations in Nevada, May 2019"
267,Customer Service Representatives,28200,"Largest occupations in Nevada, May 2019"
268,Maids and Housekeeping Cleaners,25140,"Largest occupations in Nevada, May 2019"
269,Registered Nurses,22940,"Largest occupations in Nevada, May 2019"
270,Fast Food and Counter Workers,28830,"Largest occupations in Nebraska, May 2019"
271,Retail Salespersons,27860,"Largest occupations in Nebraska, May 2019"
272,Heavy and Tractor-Trailer Truck Drivers,27570,"Largest occupations in Nebraska, May 2019"
273,Registered Nurses,23800,"Largest occupations in Nebraska, May 2019"
274,Cashiers,23360,"Largest occupations in Nebraska, May 2019"
